Date,Open,High,Low,Close,chance_price,percent_change,Volume
2022-05-10,36319.72,37677.46,36319.72,37531.99,1212,0.03,10851300
2022-05-09,39956.54,40150.5,37435.01,37435.01,-2522,-0.06,20242800
2022-05-06,40441.45,41023.34,40247.48,40247.48,-194,0,11237700
2022-05-05,41556.74,41556.74,40150.5,41314.29,-242,-0.01,5588600
2022-05-04,42187.12,42332.6,40732.39,40732.39,-1455,-0.03,9048000
2022-04-29,41023.34,42672.03,40926.36,42672.03,1649,0.04,10260800
2022-04-28,40392.96,41508.25,40392.96,41023.34,630,0.02,4729300
2022-04-27,40247.48,40926.36,39665.59,40344.47,97,0,9135400
2022-04-26,39374.65,40732.39,37677.46,40247.48,873,0.02,12051220
2022-04-25,42866,42962.98,39811.07,39811.07,-3055,-0.07,23835700
2022-04-22,42672.03,43399.4,42235.61,42769.01,97,0,6803300
2022-04-21,41702.21,42672.03,41605.23,42284.1,582,0.01,10019500
2022-04-20,42381.09,42866,41750.7,41750.7,-630,-0.01,9803800
2022-04-19,43641.85,44078.27,42187.12,42381.09,-1261,-0.03,8402900
2022-04-18,44611.67,44854.12,43447.89,43496.38,-1115,-0.03,13600800
2022-04-15,45872.43,45872.43,44223.74,44223.74,-1649,-0.04,19258800
2022-04-14,46599.8,46890.74,45726.96,45872.43,-727,-0.02,10003400
2022-04-13,46939.24,46987.73,46454.33,46551.31,-388,-0.01,7102300
2022-04-12,47230.18,47424.14,46454.33,46551.31,-679,-0.01,11511340
2022-04-08,47909.05,47909.05,47327.16,47375.65,-533,-0.01,7888100
2022-04-07,48393.96,48781.89,47812.07,47812.07,-582,-0.01,8559700
2022-04-06,47424.14,48393.96,47230.18,48393.96,970,0.02,9012200
2022-04-05,47909.05,48006.04,47569.62,47569.62,-339,-0.01,5803000
2022-04-04,48878.87,49072.84,48151.51,48151.51,-727,-0.01,9775600
2022-04-01,48054.53,48878.87,47909.05,48781.89,727,0.02,10034500
2022-03-31,48006.04,48200,47812.07,48054.53,48,0,5855100
2022-03-30,47424.14,48393.96,47424.14,47666.6,242,0.01,5743200
2022-03-29,47424.14,47666.6,47181.69,47424.14,0,0,5766000
2022-03-28,47666.6,47666.6,46890.74,47327.16,-339,-0.01,12369500
2022-03-25,47909.05,47957.55,47666.6,47763.58,-145,0,8113400
2022-03-24,48103.02,48296.98,47812.07,47812.07,-291,-0.01,3544000
2022-03-23,48393.96,48684.91,48103.02,48103.02,-291,-0.01,4073100
2022-03-22,48054.53,48781.89,48006.04,48393.96,339,0.01,7556068
2022-03-21,47763.58,48054.53,47618.11,47957.55,194,0,5496200
2022-03-18,47666.6,47909.05,47618.11,47715.09,48,0,8599700
2022-03-17,47957.55,48006.04,47521.13,47521.13,-436,-0.01,3849200
2022-03-16,47327.16,47957.55,47327.16,47569.62,242,0.01,4542000
2022-03-15,47133.2,47521.13,47036.22,47133.2,0,0,3829700
2022-03-14,47327.16,47424.14,46842.25,47036.22,-291,-0.01,8511200
2022-03-11,47715.09,47715.09,47230.18,47424.14,-291,-0.01,8612600
2022-03-10,48296.98,48296.98,47763.58,47763.58,-533,-0.01,4717100
2022-03-09,47521.13,47860.56,47424.14,47618.11,97,0,12037470
2022-03-08,47521.13,48006.04,47327.16,47521.13,0,0,9356500
2022-03-07,48006.04,48103.02,47618.11,47763.58,-242,-0.01,8802400
2022-03-04,48248.49,48878.87,48006.04,48442.45,194,0,7311700
2022-03-03,48006.04,48393.96,47666.6,48151.51,145,0,8121900
2022-03-02,48587.93,48587.93,47715.09,47715.09,-873,-0.02,18774600
2022-03-01,49169.82,49169.82,48587.93,48781.89,-388,-0.01,7050900
2022-02-28,48975.86,49363.78,48684.91,48878.87,-97,0,7565100
2022-02-25,49460.76,49751.71,48975.86,49169.82,-291,-0.01,6665900
2022-02-24,49945.67,50333.6,48296.98,48975.86,-970,-0.02,16802800
2022-02-23,50139.64,50624.55,49848.69,50139.64,0,0,6773300
2022-02-22,49460.76,50139.64,49072.84,49848.69,388,0.01,10832900
2022-02-21,50042.66,50139.64,49266.8,49945.67,-97,0,12203200
2022-02-18,50139.64,50430.58,49945.67,50042.66,-97,0,6622600
2022-02-17,50042.66,50915.49,50042.66,50624.55,582,0.01,7990000
2022-02-16,50624.55,50624.55,49945.67,50042.66,-582,-0.01,6654400
2022-02-15,50042.66,50527.57,49751.71,50236.62,194,0,12082800
2022-02-14,51594.37,51594.37,49945.67,49945.67,-1649,-0.03,21618340
2022-02-11,51885.31,52176.26,51400.4,52079.28,194,0,7887800
2022-02-10,51982.29,52564.19,51497.38,51982.29,0,0,11434900
2022-02-09,52370.22,53243.06,51982.29,51982.29,-388,-0.01,19640240
2022-02-08,51206.44,52661.17,51206.44,52176.26,970,0.02,17224500
2022-02-07,52079.28,52176.26,51206.44,51206.44,-873,-0.02,10460300
2022-01-28,50333.6,51400.4,50042.66,51206.44,873,0.02,10332900
2022-01-27,50430.58,51109.46,49945.67,50333.6,-97,0,12624000
2022-01-26,50818.51,51691.35,50430.58,50818.51,0,0,15042300
2022-01-25,49654.73,50527.57,49460.76,50333.6,679,0.01,18503300
2022-01-24,48442.45,49848.69,48296.98,48781.89,339,0.01,17345800
2022-01-21,47521.13,49266.8,47424.14,48296.98,776,0.02,11751600
2022-01-20,47181.69,47909.05,47133.2,47375.65,194,0,9349200
2022-01-19,47521.13,47909.05,47327.16,47375.65,-145,0,5181900
2022-01-18,47133.2,47957.55,47036.22,47278.67,145,0,9621200
